investor,id_funding,name,sector,industry,subindustry,zip,amount,date
Intel Capital,123844,Company 891272,Internet,Internet Software & Services,Social,10018,Undisclosed,2/17/2012
Boynton Angels,113808,Company 598637,Internet,Internet Software & Services,Personal & Professional Development,10018,Undisclosed,7/1/2012
Contour Venture Partners,109021,Company 745217,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10010,1.92,9/18/2012
FirstMark Capital,89606,Company 636509,Internet,Internet Software & Services,Application & Data Integration,10010,1.5,2/22/2012
Collaborative Fund,119187,Company 867022,Internet,Internet Software & Services,Information Providers & Portals,11201,0.05,7/1/2012
High Peaks Venture Partners,109021,Company 745218,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10010,1.92,9/18/2012
BHV VC,93651,Company 751150,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,1,3/4/2012
New York Angels,120933,Company 876036,Internet,eCommerce,eCommerce enablement,10022,1,7/1/2012
New York Angels,109021,Company 745216,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10010,1.92,9/18/2012
General Catalyst Partners,93651,Company 751150,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,1,3/4/2012
First Round Capital,102641,Company 791146,Internet,Internet Software & Services,News & Discussion,10014,1.75,7/5/2012
Quotidian Ventures,109021,Company 745217,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10010,1.92,9/18/2012
Initial Capital,93651,Company 751158,Mobile & Telecommunications,Mobile Software & Services,Gaming,10013,1,3/4/2012
Innovation Endeavors,102641,Company 791141,Internet,Internet Software & Services,News & Discussion,10014,1.75,7/5/2012
Softbank Capital,109021,Company 745212,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10010,1.92,9/18/2012
Dingman Center Angels,93926,Company 637228,Internet,Internet Software & Services,Monitoring & Security,11222,1.02,3/7/2012
Milestone Venture Partners,102835,Company 596749,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10017,2.1,7/6/2012
Contour Venture Partners,109022,Company 817269,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10003,Undisclosed,9/18/2012
Kima Ventures,93926,Company 637227,Internet,Internet Software & Services,Monitoring & Security,11222,1.02,3/7/2012
500 Startups,102975,Company 640138,Internet,eCommerce,,10003,1.7,7/9/2012
Union Square Ventures,109201,Company 818271,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,Undisclosed,Undisclosed,9/19/2012
New Atlantic Ventures,93926,Company 637227,Internet,Internet Software & Services,Monitoring & Security,11222,1.02,3/7/2012
Bertelsmann Digital Media Investments,102975,Company 640131,Internet,eCommerce,,10003,1.7,7/9/2012
SingTel Innov8,109349,Company 819005,Internet,Internet Software & Services,Social,Undisclosed,Undisclosed,9/20/2012
Investors Circle,99753,Company 256482,Food & Beverages,Non-alcoholic beverages,,11217,0.6,3/12/2012
Lerer Ventures,102975,Company 640136,Internet,eCommerce,,10003,1.7,7/9/2012
FirstMark Capital,109715,Company 587440,Internet,eCommerce,,Undisclosed,Undisclosed,9/26/2012
CAP Ventures,94417,Company 754955,Internet,eCommerce,Travel (internet),10010,1.2,3/15/2012
Polaris Partners,102975,Company 640132,Internet,eCommerce,,10003,1.7,7/9/2012
Quotidian Ventures,94417,Company 754958,Internet,eCommerce,Travel (internet),10010,1.2,3/15/2012
Windquest Group,109715,Company 587444,Internet,eCommerce,,Undisclosed,Undisclosed,9/26/2012
Resolute.vc,102975,Company 640135,Internet,eCommerce,,10003,1.7,7/9/2012
Ventech,94417,Company 754958,Internet,eCommerce,Travel (internet),10010,1.2,3/15/2012
Lightbank,109801,Company 820760,Internet,Internet Software & Services,Social,Undisclosed,0.6,9/26/2012
RRE Ventures,102975,Company 640136,Internet,eCommerce,,10003,1.7,7/9/2012
Kima Ventures,94419,Company 754979,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10010,0.15,3/15/2012
RRE Ventures,110006,Company 821635,Mobile & Telecommunications,Mobile Software & Services,Legal,10014,1.1,9/30/2012
High Peaks Venture Partners,102976,Company 753437,Internet,Internet Software & Services,Travel,10036,0.3,7/9/2012
500 Startups,104937,Company 800817,Internet,eCommerce,Marketplace,10002,0.85,10/1/2012
Founder Collective,104069,Company 752906,Internet,Internet Software & Services,Social,11237,1.5,3/15/2012
Quotidian Ventures,102976,Company 753439,Internet,Internet Software & Services,Travel,10036,0.3,7/9/2012
O'Reilly AlphaTech Ventures,104069,Company 752905,Internet,Internet Software & Services,Social,11237,1.5,3/15/2012
Baltimore Angels,104937,Company 800814,Internet,eCommerce,Marketplace,10002,0.85,10/1/2012
Andreessen Horowitz,103169,Company 793738,Electronics,Electrical Product Distribution,Power Generation & Storage,10019,0.75,7/10/2012
SV Angel,104069,Company 752905,Internet,Internet Software & Services,Social,11237,1.5,3/15/2012
Brad Harrison Ventures,104937,Company 800814,Internet,eCommerce,Marketplace,10002,0.85,10/1/2012
CrunchFund,103169,Company 793733,Electronics,Electrical Product Distribution,Power Generation & Storage,10019,0.75,7/10/2012
RRE Ventures,104315,Company 756832,Mobile & Telecommunications,Stealth Mode,,10003,1.5,3/16/2012
Great Oaks Venture Capital,104937,Company 800819,Internet,eCommerce,Marketplace,10002,0.85,10/1/2012
FF Angel,103169,Company 793732,Electronics,Electrical Product Distribution,Power Generation & Storage,10019,0.75,7/10/2012
Andreessen Horowitz,94804,Company 756776,Internet,eCommerce,Apparel & Accessories,10003,Undisclosed,3/21/2012
Milestone Venture Partners,110046,Company 596746,Mobile & Telecommunications,Mobile Software & Services,Collaboration & Project Management,10017,2.35,10/1/2012
Fremont Group,103218,Company 529922,Mobile & Telecommunications,Mobile Commerce,Digital Goods,10016,0.3,7/11/2012
Benchmark Capital,94804,Company 756773,Internet,eCommerce,Apparel & Accessories,10003,Undisclosed,3/21/2012
VitaminaK,103270,Company 794108,Internet,Internet Software & Services,Social,Undisclosed,0.8,7/11/2012
ff Venture Capital,110491,Company 823910,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",Undisclosed,Undisclosed,10/7/2012
Greylock Partners,94804,Company 756772,Internet,eCommerce,Apparel & Accessories,10003,Undisclosed,3/21/2012
500 Startups,103391,Company 794665,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Genacast Ventures,110491,Company 823918,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",Undisclosed,Undisclosed,10/7/2012
SV Angel,94804,Company 756775,Internet,eCommerce,Apparel & Accessories,10003,Undisclosed,3/21/2012
Advancit Capital,103391,Company 794663,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Rhodium Ventures,110491,Company 823918,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",Undisclosed,Undisclosed,10/7/2012
Lerer Ventures,108769,Company 816730,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,0.5,3/21/2012
Charles River Ventures,103391,Company 794667,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Forerunner Ventures,110742,Company 776427,Mobile & Telecommunications,Mobile Software & Services,Photo,10013,0.83,10/10/2012
Softbank Capital,108769,Company 816739,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10010,0.5,3/21/2012
Digital Entertainment Ventures,103391,Company 794668,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Khosla Ventures,110742,Company 776422,Mobile & Telecommunications,Mobile Software & Services,Photo,10013,0.83,10/10/2012
Quotidian Ventures,94928,Company 757510,Internet,eCommerce,Marketplace,10010,0.58,3/22/2012
Graph Ventures,103391,Company 794669,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Advancit Capital,110825,Company 825516,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,3,10/10/2012
RRE Ventures,94928,Company 757510,Internet,eCommerce,Marketplace,10010,0.58,3/22/2012
Red Swan Ventures,103391,Company 794667,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Founder Collective,110825,Company 825517,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,3,10/10/2012
Accelerator Ventures,95081,Company 635971,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1.5,3/26/2012
SV Angel,103391,Company 794665,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
Founders Fund,110825,Company 825515,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,3,10/10/2012
Blumberg Capital,95081,Company 635976,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1.5,3/26/2012
The Social+Capital Partnership,103391,Company 794666,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,0.8,7/12/2012
SV Angel,110825,Company 825511,Mobile & Telecommunications,Mobile Commerce,"Music, Video, Books & Entertainment",Undisclosed,3,10/10/2012
Bullpen Capital,95081,Company 635977,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1.5,3/26/2012
Baltimore Angels,113750,Company 840017,Internet,Internet Software & Services,Information Providers & Portals,Undisclosed,Undisclosed,7/12/2012
Launchpad Venture Group,110899,Company 662694,Internet,Internet Software & Services,Search,10012,0.75,10/11/2012
Metamorphic Ventures,95081,Company 635970,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1.5,3/26/2012
Freestyle Capital,103441,Company 794396,Internet,Internet Software & Services,Collaboration & Project Management,Undisclosed,0.5,7/13/2012
T5 Equity Partners,95081,Company 635974,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1.5,3/26/2012
New York Angels,110899,Company 662698,Internet,Internet Software & Services,Search,10012,0.75,10/11/2012
Warner Hill Angels,103734,Company 796067,Internet,Internet Software & Services,Social,10003,1.4,7/17/2012
HENQ Invest,95231,Company 758645,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10022,Undisclosed,3/27/2012
Brooklyn Bridge Ventures,111088,Company 826689,Internet,Internet Software & Services,Collaboration & Project Management,11201,1,10/15/2012
500 Startups,103740,Company 796114,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,Undisclosed,7/17/2012
New York Angels,4935,Company 111432,Financial,Payments (non-internet/mobile),,10022,Undisclosed,4/1/2012
Lerer Ventures,111088,Company 826683,Internet,Internet Software & Services,Collaboration & Project Management,11201,1,10/15/2012
iNovia Capital,103817,Company 795061,Internet,eCommerce,Apparel & Accessories,10010,1.4,7/18/2012
Baltimore Angels,115922,Company 502745,Internet,Internet Software & Services,Video,10011,1.57,4/3/2012
Bullpen Capital,111380,Company 740210,Internet,Internet Software & Services,HR & Workforce Management,10016,0.75,10/18/2012
500 Startups,104479,Company 799071,Mobile & Telecommunications,Mobile Software & Services,Gaming,Undisclosed,2,7/25/2012
Cue Ball Capital,95729,Company 591444,Mobile & Telecommunications,Mobile Software & Services,Application Development,10001,Undisclosed,4/4/2012
Brad Harrison Ventures,104522,Company 703396,Internet,Internet Software & Services,Photo,10002,1,7/26/2012
Lerer Ventures,111380,Company 740219,Internet,Internet Software & Services,HR & Workforce Management,10016,0.75,10/18/2012
Kleiner Perkins Caufield & Byers,95729,Company 591447,Mobile & Telecommunications,Mobile Software & Services,Application Development,10001,Undisclosed,4/4/2012
Great Oaks Venture Capital,104522,Company 703397,Internet,Internet Software & Services,Photo,10002,1,7/26/2012
ARC Angel Fund,111409,Company 828057,Internet,Internet Software & Services,Information Providers & Portals,10013,0.12,10/18/2012
North Bridge Venture Partners,95729,Company 591445,Mobile & Telecommunications,Mobile Software & Services,Application Development,10001,Undisclosed,4/4/2012
CrunchFund,104646,Company 544236,Internet,Internet Software & Services,Social,10011,1.5,7/27/2012
500 Startups,111412,Company 828084,Internet,Internet Software & Services,Real Estate,10003,0.56,10/18/2012
Kima Ventures,122417,Company 883916,Internet,eCommerce,Food & Grocery,11249,0.45,4/9/2012
Metamorphic Ventures,104646,Company 544238,Internet,Internet Software & Services,Social,10011,1.5,7/27/2012
Expansion Capital Partners,111412,Company 828089,Internet,Internet Software & Services,Real Estate,10003,0.56,10/18/2012
Bertelsmann Digital Media Investments,111904,Company 830803,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,10/29/2012
Social Starts,119726,Company 870010,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
ff Venture Capital,109069,Company 817822,Mobile & Telecommunications,Mobile Software & Services,Social,10018,1.2,10/19/2012
DFJ Gotham Ventures,111904,Company 830808,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,10/29/2012
True Ventures,119726,Company 870016,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10001,2.1,3/4/2013
Liberty City Ventures,111904,Company 830806,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,10/29/2012
Lerer Ventures,111533,Company 828890,Internet,eCommerce,Apparel & Accessories,10013,0.85,10/22/2012
BHV VC,120160,Company 774110,Internet,Stealth Mode,,Undisclosed,1.5,3/6/2013
MESA+,111904,Company 830808,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,1,10/29/2012
Sequoia Capital,111599,Company 829299,Internet,Internet Software & Services,"Billing, Expense Management and Procurement",10016,Undisclosed,10/23/2012
ff Venture Capital,120160,Company 774116,Internet,Stealth Mode,,Undisclosed,1.5,3/6/2013
JumpStart NJ Angel Network,126709,Company 804200,Internet,eCommerce,Marketplace,10013,Undisclosed,11/2/2012
Kaplan Ventures,111422,Company 828172,Internet,Internet Software & Services,Education & Training,10016,0.8,10/26/2012
Great Oaks Venture Capital,120160,Company 774113,Internet,Stealth Mode,,Undisclosed,1.5,3/6/2013
New Enterprise Associates,112258,Company 832584,Internet,Stealth Mode,,10011,1.35,11/5/2012
Columbus Nova Technology Partners,111854,Company 830540,Healthcare,Biotechnology,,10014,1.25,10/26/2012
Quotidian Ventures,120160,Company 774111,Internet,Stealth Mode,,Undisclosed,1.5,3/6/2013
Softbank Capital,112258,Company 832580,Internet,Stealth Mode,,10011,1.35,11/5/2012
First Round Capital,101357,Company 786001,Internet,Internet Software & Services,Social,10012,2.5,10/28/2012
Venture Capital Fund,120160,Company 774112,Internet,Stealth Mode,,Undisclosed,1.5,3/6/2013
Oak Investment Partners,112481,Company 833810,Internet,Internet Software & Services,"Advertising, Sales & Marketing",10018,Undisclosed,11/8/2012
Winklevoss Capital,112783,Company 835214,Internet,Internet Software & Services,Browser Software / Plugins,10010,1,11/13/2012
Lerer Ventures,101357,Company 786001,Internet,Internet Software & Services,Social,10012,2.5,10/28/2012
Contour Venture Partners,101506,Company 659333,Internet,Internet Software & Services,,10010,Undisclosed,3/7/2013
Lightbank,112812,Company 835358,Internet,eCommerce,Marketplace,Undisclosed,Undisclosed,11/14/2012
Box Group,120543,Company 874192,Internet,eCommerce,Apparel & Accessories,10003,Undisclosed,3/13/2013
New Enterprise Associates,101357,Company 786007,Internet,Internet Software & Services,Social,10012,2.5,10/28/2012
Atlas Venture,104107,Company 797539,Internet,Internet Software & Services,Application & Data Integration,10014,1.8,11/19/2012
Harrison Metal,120543,Company 874195,Internet,eCommerce,Apparel & Accessories,10003,Undisclosed,3/13/2013
Oak Investment Partners,101357,Company 786002,Internet,Internet Software & Services,Social,10012,2.5,10/28/2012
Genacast Ventures,104107,Company 797537,Internet,Internet Software & Services,Application & Data Integration,10014,1.8,11/19/2012
Cowboy Ventures,121645,Company 553983,Internet,eCommerce,Comparison Shopping,10014,1.6,3/27/2013
Softbank Capital,101357,Company 786005,Internet,Internet Software & Services,Social,10012,2.5,10/28/2012
Great Oaks Venture Capital,104107,Company 797536,Internet,Internet Software & Services,Application & Data Integration,10014,1.8,11/19/2012
ff Venture Capital,121645,Company 553988,Internet,eCommerce,Comparison Shopping,10014,1.6,3/27/2013
500 Startups,113462,Company 838625,Internet,Internet Software & Services,Information Providers & Portals,Undisclosed,Undisclosed,11/27/2012
Founder Collective,121645,Company 553982,Internet,eCommerce,Comparison Shopping,10014,1.6,3/27/2013
Oakview Group,113462,Company 838629,Internet,Internet Software & Services,Information Providers & Portals,Undisclosed,Undisclosed,11/27/2012
Lightbank,121645,Company 553985,Internet,eCommerce,Comparison Shopping,10014,1.6,3/27/2013
ENIAC Ventures,113568,Company 839117,Internet,Internet Software & Services,Browser Software / Plugins,10013,0.8,11/28/2012
New York Angels,135686,Company 954645,Internet,Internet Software & Services,Search,Undisclosed,Undisclosed,4/1/2013
ENIAC Ventures,118651,Company 864585,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,1.2,12/1/2012
Box Group,122022,Company 881813,Internet,eCommerce,Marketplace,Undisclosed,1.3,4/2/2013
Collaborative Fund,122022,Company 881810,Internet,eCommerce,Marketplace,Undisclosed,1.3,4/2/2013
Metamorphic Ventures,118651,Company 864584,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,1.2,12/1/2012
First Round Capital,122022,Company 881819,Internet,eCommerce,Marketplace,Undisclosed,1.3,4/2/2013
NextView Ventures,118651,Company 864585,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,1.2,12/1/2012
MESA+,122022,Company 881812,Internet,eCommerce,Marketplace,Undisclosed,1.3,4/2/2013
RRE Ventures,118651,Company 864588,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,1.2,12/1/2012
Quotidian Ventures,122022,Company 881818,Internet,eCommerce,Marketplace,Undisclosed,1.3,4/2/2013
Keiretsu Forum,120942,Company 876117,Internet,Internet Software & Services,Supply Chain & Logistics,10013,0.2,12/1/2012
Lightbank,113969,Company 841104,Internet,Internet Software & Services,News & Discussion,10014,0.37,4/5/2013
New York Angels,120975,Company 876364,Internet,eCommerce,eCommerce enablement,10011,0.3,12/1/2012
Tribeca Venture Partners,122541,Company 884612,Internet,Internet Software & Services,Payments,Undisclosed,0.5,4/9/2013
New York Angels,120986,Company 876467,Internet,eCommerce,Digital Goods,Undisclosed,0.75,12/1/2012
Box Group,122558,Company 884727,Internet,Internet Software & Services,Customer Relationship Management,Undisclosed,Undisclosed,4/9/2013
New York Angels,113866,Company 840465,Mobile & Telecommunications,Mobile Commerce,Digital Goods,10022,1,12/3/2012
New York Angels,122840,Company 885999,Internet,Internet Software & Services,Social,10010,0.5,4/12/2013
IA Ventures,109345,Company 818972,Internet,Internet Software & Services,Information Providers & Portals,10014,0.56,12/4/2012
ff Venture Capital,123020,Company 527704,Internet,Internet Software & Services,"Advertising, Sales & Marketing",11201,1.07,4/16/2013
Lerer Ventures,109345,Company 818977,Internet,Internet Software & Services,Information Providers & Portals,10014,0.56,12/4/2012
ENIAC Ventures,123546,Company 889830,Mobile & Telecommunications,Mobile Software & Services,Gaming,Undisclosed,1,4/24/2013
MESA+,109345,Company 818977,Internet,Internet Software & Services,Information Providers & Portals,10014,0.56,12/4/2012
Lerer Ventures,123546,Company 889836,Mobile & Telecommunications,Mobile Software & Services,Gaming,Undisclosed,1,4/24/2013
Great Oaks Venture Capital,114278,Company 842553,Internet,eCommerce,Apparel & Accessories,10001,0.78,12/10/2012
m8 Capital,123546,Company 889832,Mobile & Telecommunications,Mobile Software & Services,Gaming,Undisclosed,1,4/24/2013
New York Angels,114370,Company 843040,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,10024,0.25,12/11/2012
Tribeca Venture Partners,123546,Company 889839,Mobile & Telecommunications,Mobile Software & Services,Gaming,Undisclosed,1,4/24/2013
SoundBoard Angel Fund,135560,Company 907338,Internet,Internet Software & Services,Data & Document Management,Undisclosed,Undisclosed,12/11/2012
Zelkova Ventures,123848,Company 846908,Internet,Internet Software & Services,Customer Relationship Management,10010,Undisclosed,4/30/2013
General Catalyst Partners,114465,Company 515392,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,12/12/2012
New York Angels,120989,Company 876484,Mobile & Telecommunications,Mobile Software & Services,Travel,10002,1.14,5/1/2013
Khosla Ventures,114465,Company 515396,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,12/12/2012
SoundBoard Angel Fund,120989,Company 876485,Mobile & Telecommunications,Mobile Software & Services,Travel,10002,1.14,5/1/2013
Raptor Ventures,114465,Company 515394,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,12/12/2012
ArcView Group,124024,Company 892273,Internet,eCommerce,,Undisclosed,Undisclosed,5/2/2013
Thrive Capital,114465,Company 515394,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,12/12/2012
Bing Fund,124072,Company 583997,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",11201,Undisclosed,5/2/2013
Upfront Ventures,114465,Company 515396,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,12/12/2012
Founder Collective,124186,Company 893215,Internet,Stealth Mode,,Undisclosed,Undisclosed,5/6/2013
Manitou Ventures,114549,Company 843891,Internet,eCommerce,Marketplace,Undisclosed,Undisclosed,12/13/2012
Lerer Ventures,124186,Company 893213,Internet,Stealth Mode,,Undisclosed,Undisclosed,5/6/2013
.406 Ventures,114071,Company 841495,Internet,Internet Software & Services,Information Providers & Portals,10013,8,12/16/2012
Thrive Capital,124186,Company 893216,Internet,Stealth Mode,,Undisclosed,Undisclosed,5/6/2013
Founders Fund,114071,Company 841499,Internet,Internet Software & Services,Information Providers & Portals,10013,8,12/16/2012
White Owl Capital Partners,122489,Company 884323,Media (Traditional),Publishing,,10012,1.2,5/7/2013
Thrive Capital,114071,Company 841497,Internet,Internet Software & Services,Information Providers & Portals,10013,8,12/16/2012
Lerer Ventures,123190,Company 888023,Mobile & Telecommunications,Mobile Software & Services,Payments,10011,1.5,5/8/2013
Harbor Pacific Capital,96881,Company 530211,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10001,2.6,12/18/2012
O'Reilly AlphaTech Ventures,123190,Company 888021,Mobile & Telecommunications,Mobile Software & Services,Payments,10011,1.5,5/8/2013
m8 Capital,96881,Company 530215,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10001,2.6,12/18/2012
Red Swan Ventures,123190,Company 888024,Mobile & Telecommunications,Mobile Software & Services,Payments,10011,1.5,5/8/2013
Qualcomm Ventures,96881,Company 530214,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10001,2.6,12/18/2012
ff Venture Capital,120674,Company 874950,Internet,eCommerce,Food & Grocery,10014,1.4,5/9/2013
Vocap Ventures,115323,Company 585100,Internet,Internet Software & Services,Information Providers & Portals,10014,1.27,12/27/2012
Founder Collective,120674,Company 874954,Internet,eCommerce,Food & Grocery,10014,1.4,5/9/2013
New York Angels,126637,Company 876036,Internet,eCommerce,eCommerce enablement,10022,0.4,1/1/2013
German Ventures,124515,Company 754954,Internet,eCommerce,Travel (internet),10010,Undisclosed,5/9/2013
New York Angels,126717,Company 778506,Consumer Products & Services,Clothing & Accessories,Men's Clothing,10011,1,1/1/2013
ff Venture Capital,129998,Company 287993,Internet,Internet Software & Services,Customer Relationship Management,10018,Undisclosed,5/9/2013
JumpStart NJ Angel Network,126735,Company 907295,Internet,Internet Software & Services,Real Estate,10018,1.7,1/1/2013
New York Angels,124582,Company 894961,Internet,eCommerce,eCommerce enablement,10010,0.41,5/10/2013
New York Angels,126741,Company 907333,Internet,Internet Software & Services,Data & Document Management,Undisclosed,1,1/1/2013
IA Ventures,124615,Company 802148,Internet,Internet Software & Services,Collaboration & Project Management,10003,1.6,5/10/2013
Golden Seeds,126818,Company 907791,Financial,Asset/Financial Management,,10022,Undisclosed,1/1/2013
500 Startups,124839,Company 823985,Internet,Internet Software & Services,"Advertising, Sales & Marketing",Undisclosed,0.53,5/14/2013
JumpStart NJ Angel Network,126823,Company 907843,Internet,eCommerce,,10018,0.53,1/1/2013
Advancit Capital,124869,Company 800595,Internet,Internet Software & Services,News & Discussion,10018,1.1,5/15/2013
New York Angels,126724,Company 907203,Mobile & Telecommunications,Mobile Software & Services,Asset & Financial Management & Trading,Undisclosed,0.5,1/2/2013
Lerer Ventures,124869,Company 800594,Internet,Internet Software & Services,News & Discussion,10018,1.1,5/15/2013
First Round Capital,115739,Company 618244,Internet,Internet Software & Services,Legal,11215,0.2,1/4/2013
Winklevoss Capital,124870,Company 835212,Internet,Internet Software & Services,Browser Software / Plugins,10010,2,5/15/2013
Casabona Ventures,116210,Company 838750,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,11201,0.2,1/9/2013
Mumbai Angels,125053,Company 807202,Retail (non-internet/mobile),Apparel & Accessories,,10005,0.91,5/17/2013
JumpStart NJ Angel Network,116210,Company 838751,Mobile & Telecommunications,Mobile Software & Services,Location-Based & Navigation,11201,0.2,1/9/2013
Winklevoss Capital,125080,Company 897814,Internet,Internet Software & Services,Payments,10010,1.5,5/17/2013
Capitole Angels,116557,Company 853706,Mobile & Telecommunications,Mobile Software & Services,Video,10022,0.53,1/15/2013
Collaborative Fund,125126,Company 515393,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,5/20/2013
Gabriel Investments,116778,Company 756014,Internet,Stealth Mode,,10003,1.51,1/17/2013
General Catalyst Partners,125126,Company 515392,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,5/20/2013
500 Startups,117104,Company 856609,Internet,Internet Software & Services,Personal & Professional Development,Undisclosed,1.2,1/22/2013
Great Oaks Venture Capital,117104,Company 856608,Internet,Internet Software & Services,Personal & Professional Development,Undisclosed,1.2,1/22/2013
Khosla Ventures,125126,Company 515397,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,5/20/2013
Softbank Ventures Korea,117243,Company 837947,Internet,Internet Software & Services,Education & Training,10013,1.4,1/24/2013
Thrive Capital,125126,Company 515390,Computer Hardware & Services,Workstations & Thin Clients,,10010,1,5/20/2013
Brooklyn Bridge Ventures,117791,Company 860218,Software (non-internet/mobile),Multimedia & Graphics,,Undisclosed,1,1/31/2013
New York Angels,125173,Company 778304,Internet,Internet Software & Services,HR & Workforce Management,10013,1.03,5/20/2013
Felicis Ventures,117791,Company 860212,Software (non-internet/mobile),Multimedia & Graphics,,Undisclosed,1,1/31/2013
Greycroft Partners,125547,Company 901210,Internet,Internet Software & Services,Data & Document Management,10001,Undisclosed,5/23/2013
Lerer Ventures,117791,Company 860215,Software (non-internet/mobile),Multimedia & Graphics,,Undisclosed,1,1/31/2013
Battery Ventures,125627,Company 813964,Internet,eCommerce,Apparel & Accessories,10001,1.25,5/27/2013
Red Swan Ventures,117791,Company 860216,Software (non-internet/mobile),Multimedia & Graphics,,Undisclosed,1,1/31/2013
Maveron,125627,Company 813969,Internet,eCommerce,Apparel & Accessories,10001,1.25,5/27/2013
Two Sigma Ventures,117791,Company 860213,Software (non-internet/mobile),Multimedia & Graphics,,Undisclosed,1,1/31/2013
Hearst Ventures,125899,Company 903151,Internet,eCommerce,Home Furnishings & Improvement,10014,1.4,5/30/2013
Golden Seeds,126729,Company 533779,Financial,Investment Firms & Funds,,Undisclosed,Undisclosed,2/1/2013
Lerer Ventures,125899,Company 903150,Internet,eCommerce,Home Furnishings & Improvement,10014,1.4,5/30/2013
Gabriel Investments,118244,Company 756019,Internet,Stealth Mode,,10003,1.82,2/6/2013
Softbank Capital,125899,Company 903153,Internet,eCommerce,Home Furnishings & Improvement,10014,1.4,5/30/2013
First Round Capital,117331,Company 857676,Mobile & Telecommunications,Mobile Software & Services,Customer Relationship Management,10003,3,2/11/2013
