id_funding,name,sector,industry,subindustry,zip,amount,date,investor
"101030","Company 591822","Internet","Internet Software & Services","Data Storage","10001","1","8/15/2011","IDG Capital Partners"
"67067","Company 503363","Internet","Internet Software & Services","Email","10013","1","7/12/2010","RRE Ventures"
"71650","Company 525603","Internet","Internet Software & Services","Education & Training","10012","0.55","1/26/2011","SV Angel"
"81467","Company 525927","Mobile & Telecommunications","Mobile Software & Services","Advertising, Sales & Marketing","10018","1.65","8/17/2011","Battery Ventures"
"67067","Company 503364","Internet","Internet Software & Services","Email","10013","1","7/12/2010","Thrive Capital"
"71745","Company 526109","Internet","Internet Software & Services","Travel","Undisclosed","1","2/1/2011","Charles River Ventures"
"81467","Company 525928","Mobile & Telecommunications","Mobile Software & Services","Advertising, Sales & Marketing","10018","1.65","8/17/2011","New Enterprise Associates"
"69063","Company 12427","Internet","Internet Software & Services","Content Management","10010","Undisclosed","7/19/2010","IA Ventures"
"71745","Company 526104","Internet","Internet Software & Services","Travel","Undisclosed","1","2/1/2011","StartupAngel"
"81490","Company 594568","Internet","Internet Software & Services","News & Discussion","10001","0.4","8/17/2011","THOT Capital Group"
"66408","Company 501701","Mobile & Telecommunications","Mobile Software & Services","Social","10065","1.05","7/28/2010","DFJ Gotham Ventures"
"72128","Company 528719","Internet","eCommerce","eCommerce enablement","10016","1.53","2/13/2011","DFJ Gotham Ventures"
"66408","Company 501706","Mobile & Telecommunications","Mobile Software & Services","Social","10065","1.05","7/28/2010","ENIAC Ventures"
"89900","Company 596756","Internet","Internet Software & Services","Advertising, Sales & Marketing","11201","0.64","8/19/2011","Kartik Hosanagar"
"72128","Company 528714","Internet","eCommerce","eCommerce enablement","10016","1.53","2/13/2011","Polaris Partners"
"101166","Company 594400","Mobile & Telecommunications","Mobile Software & Services","Education & Training","Undisclosed","0.8","8/22/2011","BOLDstart Ventures"
"72128","Company 528718","Internet","eCommerce","eCommerce enablement","10016","1.53","2/13/2011","Social Leverage"
"66408","Company 501705","Mobile & Telecommunications","Mobile Software & Services","Social","10065","1.05","7/28/2010","Felicis Ventures"
"101166","Company 594409","Mobile & Telecommunications","Mobile Software & Services","Education & Training","Undisclosed","0.8","8/22/2011","Learn Capital"
"66408","Company 501709","Mobile & Telecommunications","Mobile Software & Services","Social","10065","1.05","7/28/2010","North Bridge Venture Partners"
"72128","Company 528714","Internet","eCommerce","eCommerce enablement","10016","1.53","2/13/2011","Tekton Ventures"
"72128","Company 528712","Internet","eCommerce","eCommerce enablement","10016","1.53","2/13/2011","Upfront Ventures"
"67472","Company 504453","Internet","Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","10014","0.3","8/10/2010","North Bridge Venture Partners"
"101166","Company 594400","Mobile & Telecommunications","Mobile Software & Services","Education & Training","Undisclosed","0.8","8/22/2011","Lerer Ventures"
"81813","Company 595930","Internet","Internet Software & Services","Search","10003","3","2/14/2011","WGI Group"
"69060","Company 511604","Financial","","","10005","0.95","8/16/2010","IA Ventures"
"101166","Company 594409","Mobile & Telecommunications","Mobile Software & Services","Education & Training","Undisclosed","0.8","8/22/2011","SV Angel"
"72320","Company 357614","Internet","eCommerce","Events & Ticketing","10013","Undisclosed","2/22/2011","A-Grade"
"75953","Company 545797","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","11211","Undisclosed","8/18/2010","Founder Collective"
"81909","Company 514228","Internet","Internet Software & Services","Customer Relationship Management","10013","1.3","8/25/2011","Boston Harbor Angels"
"75953","Company 545794","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","11211","Undisclosed","8/18/2010","High Line Venture Partners"
"98172","Company 528512","Internet","eCommerce","Auto","10001","0.69","2/22/2011","NextView Ventures"
"81909","Company 514225","Internet","Internet Software & Services","Customer Relationship Management","10013","1.3","8/25/2011","Launchpad Venture Group"
"75953","Company 545796","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","11211","Undisclosed","8/18/2010","SV Angel"
"98172","Company 528516","Internet","eCommerce","Auto","10001","0.69","2/22/2011","RPM Ventures"
"81909","Company 514220","Internet","Internet Software & Services","Customer Relationship Management","10013","1.3","8/25/2011","New York Angels"
"73343","Company 533775","Financial","Investment Firms & Funds","","Undisclosed","0.48","8/24/2010","Golden Seeds"
"77049","Company 285421","Internet","Internet Software & Services","Domain & SEO Services","10018","0.5","2/23/2011","New York Angels"
"81909","Company 514222","Internet","Internet Software & Services","Customer Relationship Management","10013","1.3","8/25/2011","Race Point Capital"
"75220","Company 505489","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","10009","0.85","8/25/2010","First Round Capital"
"72531","Company 530697","Internet","Internet Software & Services","Social","10010","1","3/2/2011","Draper Fisher Jurvetson"
"81909","Company 514222","Internet","Internet Software & Services","Customer Relationship Management","10013","1.3","8/25/2011","TiE Angels"
"75220","Company 505481","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","10009","0.85","8/25/2010","Founder Collective"
"72531","Company 530693","Internet","Internet Software & Services","Social","10010","1","3/2/2011","ENIAC Ventures"
"81909","Company 514225","Internet","Internet Software & Services","Customer Relationship Management","10013","1.3","8/25/2011","Zinc Ventures"
"75220","Company 505486","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","10009","0.85","8/25/2010","Lerer Ventures"
"72531","Company 530697","Internet","Internet Software & Services","Social","10010","1","3/2/2011","General Catalyst Partners"
"82246","Company 597597","Internet","Internet Software & Services","News & Discussion","10016","1","9/1/2011","Compuware Ventures"
"75220","Company 505486","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","10009","0.85","8/25/2010","SV Angel"
"72531","Company 530699","Internet","Internet Software & Services","Social","10010","1","3/2/2011","Softbank Capital"
"86076","Company 593578","Internet","Internet Software & Services","Music","10016","Undisclosed","9/9/2011","Angel Investor Forum"
"75220","Company 505482","Mobile & Telecommunications","Mobile Software & Services","Conferencing & Communication","10009","0.85","8/25/2010","Thrive Capital"
"72567","Company 530917","Internet","Internet Software & Services","Information Providers & Portals","10003","0.85","3/3/2011","500 Startups"
"87755","Company 12420","Internet","Internet Software & Services","Content Management","10010","0.75","9/9/2011","Floodgate"
"92891","Company 747583","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","Hudson River Angels"
"72567","Company 530917","Internet","Internet Software & Services","Information Providers & Portals","10003","0.85","3/3/2011","Investors Circle"
"87755","Company 12426","Internet","Internet Software & Services","Content Management","10010","0.75","9/9/2011","IA Ventures"
"92891","Company 747583","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","Lerer Ventures"
"72567","Company 530912","Internet","Internet Software & Services","Information Providers & Portals","10003","0.85","3/3/2011","Robin Hood Ventures"
"84002","Company 604805","Internet","Internet Software & Services","Photo","Undisclosed","0.75","9/11/2011","RRE Ventures"
"92891","Company 747581","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","NextView Ventures"
"72567","Company 530913","Internet","Internet Software & Services","Information Providers & Portals","10003","0.85","3/3/2011","Social Leverage"
"84002","Company 604808","Internet","Internet Software & Services","Photo","Undisclosed","0.75","9/11/2011","Softbank Capital"
"72567","Company 530916","Internet","Internet Software & Services","Information Providers & Portals","10003","0.85","3/3/2011","TomorrowVentures"
"92891","Company 747583","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","RRE Ventures"
"95016","Company 757660","Internet","Internet Software & Services","Health & Wellness","Undisclosed","Undisclosed","9/12/2011","500 Startups"
"72567","Company 530915","Internet","Internet Software & Services","Information Providers & Portals","10003","0.85","3/3/2011","Venture51"
"92891","Company 747586","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","Softbank Capital"
"95016","Company 757667","Internet","Internet Software & Services","Health & Wellness","Undisclosed","Undisclosed","9/12/2011","ENIAC Ventures"
"84913","Company 536555","Internet","Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","10011","2","3/9/2011","Battery Ventures"
"92891","Company 747583","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","SV Angel"
"84913","Company 536554","Internet","Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","10011","2","3/9/2011","Consigliere Brand Capital"
"82678","Company 525194","Consumer Products & Services","Education & Training (non-internet/mobile)","","10010","4.1","9/13/2011","Maveron"
"92891","Company 747589","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","Undisclosed","1.15","9/6/2010","Thrive Capital"
"68696","Company 509943","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","10014","0.77","9/23/2010","True Ventures"
"84913","Company 536550","Internet","Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","10011","2","3/9/2011","DFJ Gotham Ventures"
"82815","Company 599871","Internet","Internet Software & Services","Information Providers & Portals","10013","1.2","9/14/2011","Kapor Capital"
"84913","Company 536550","Internet","Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","10011","2","3/9/2011","RRE Ventures"
"68625","Company 492538","Internet","Internet Software & Services","Travel","10018","0.38","9/28/2010","Baroda Ventures"
"95017","Company 757661","Internet","Internet Software & Services","Health & Wellness","Undisclosed","Undisclosed","9/19/2011","500 Startups"
"68625","Company 492535","Internet","Internet Software & Services","Travel","10018","0.38","9/28/2010","First Round Capital"
"116293","Company 837035","Internet","Internet Software & Services","Collaboration & Project Management","10001","Undisclosed","3/10/2011","RRE Ventures"
"83040","Company 561500","Software (non-internet/mobile)","Advertising, Sales & Marketing","","10007","0.81","9/20/2011","500 Startups"
"100751","Company 516726","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10010","1.8","3/11/2011","Genacast Ventures"
"68625","Company 492537","Internet","Internet Software & Services","Travel","10018","0.38","9/28/2010","Zelkova Ventures"
"83040","Company 561503","Software (non-internet/mobile)","Advertising, Sales & Marketing","","10007","0.81","9/20/2011","Quotidian Ventures"
"100751","Company 516729","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10010","1.8","3/11/2011","High Peaks Venture Partners"
"77070","Company 496480","Internet","Internet Software & Services","Video","10002","0.13","10/8/2010","New York Angels"
"83040","Company 561503","Software (non-internet/mobile)","Advertising, Sales & Marketing","","10007","0.81","9/20/2011","Windquest Group"
"97671","Company 496351","Mobile & Telecommunications","Mobile Commerce","Discount","10013","0.2","10/11/2010","Google Ventures"
"100751","Company 516727","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10010","1.8","3/11/2011","Qualcomm Ventures"
"100637","Company 783192","Healthcare","Stealth Mode","","10001","3","10/7/2011","Third Rock Ventures"
"77087","Company 514229","Internet","Internet Software & Services","Customer Relationship Management","10013","Undisclosed","10/12/2010","Boston Harbor Angels"
"107512","Company 532694","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","10009","0.5","3/18/2011","ARC Angel Fund"
"92265","Company 745213","Mobile & Telecommunications","Mobile Software & Services","Collaboration & Project Management","10010","0.01","10/11/2011","New York Angels"
"115940","Company 850520","Internet","Internet Software & Services","Accounting & Finance","10010","0.31","10/12/2010","New York Angels"
"107512","Company 532691","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","10009","0.5","3/18/2011","Lowercase Capital"
"84271","Company 509944","Mobile & Telecommunications","Mobile Software & Services","Location-Based & Navigation","10014","0.53","10/13/2011","True Ventures"
"73240","Company 285423","Internet","Internet Software & Services","Domain & SEO Services","10018","1.03","10/15/2010","DFJ Gotham Ventures"
"74117","Company 536973","Internet","Internet Software & Services","Social","10016","0.75","3/23/2011","Angel Street Capital"
"84421","Company 606495","Internet","Internet Software & Services","Social","10001","1.5","10/17/2011","Foundry Group"
"73240","Company 285422","Internet","Internet Software & Services","Domain & SEO Services","10018","1.03","10/15/2010","First Round Capital"
"74117","Company 536971","Internet","Internet Software & Services","Social","10016","0.75","3/23/2011","Joshua Baer"
"84421","Company 606495","Internet","Internet Software & Services","Social","10001","1.5","10/17/2011","RRE Ventures"
"73240","Company 285428","Internet","Internet Software & Services","Domain & SEO Services","10018","1.03","10/15/2010","Hub Angels Investment Group"
"74161","Company 537318","Internet","Internet Software & Services","Education & Training","10013","0.2","3/24/2011","500 Startups"
"84523","Company 606935","Mobile & Telecommunications","Mobile Commerce","Food & Grocery","10003","Undisclosed","10/18/2011","Google Ventures"
"73240","Company 285420","Internet","Internet Software & Services","Domain & SEO Services","10018","1.03","10/15/2010","Javelin Venture Partners"
"74520","Company 539012","Mobile & Telecommunications","Mobile Software & Services","Advertising, Sales & Marketing","10001","1","4/6/2011","IA Ventures"
"101147","Company 783194","Healthcare","Stealth Mode","","10001","3","10/24/2011","SV Life Sciences"
"117335","Company 523661","Mobile & Telecommunications","Mobile Software & Services","Travel","10012","0.96","10/15/2010","Accelerator Ventures"
"74520","Company 539019","Mobile & Telecommunications","Mobile Software & Services","Advertising, Sales & Marketing","10001","1","4/6/2011","kbs+p Ventures"
"101147","Company 783192","Healthcare","Stealth Mode","","10001","3","10/24/2011","Third Rock Ventures"
"117335","Company 523666","Mobile & Telecommunications","Mobile Software & Services","Travel","10012","0.96","10/15/2010","Thrive Capital"
"74520","Company 539010","Mobile & Telecommunications","Mobile Software & Services","Advertising, Sales & Marketing","10001","1","4/6/2011","Neu Venture Capital"
"101162","Company 254818","Internet","Internet Software & Services","Social","10013","1","11/8/2011","Centurion Venture Partners"
"77069","Company 496480","Internet","Internet Software & Services","Video","10002","0.09","10/18/2010","New York Angels"
"74520","Company 539018","Mobile & Telecommunications","Mobile Software & Services","Advertising, Sales & Marketing","10001","1","4/6/2011","Social Leverage"
"101162","Company 254810","Internet","Internet Software & Services","Social","10013","1","11/8/2011","TMT Investments"
"75384","Company 508679","Internet","eCommerce","Apparel & Accessories","10003","1.4","10/20/2010","Accel Partners"
"76229","Company 546695","Internet","eCommerce","Discount","10011","1","4/7/2011","K2 Media"
"86674","Company 618243","Internet","Internet Software & Services","Legal","11215","0.65","11/15/2011","First Round Capital"
"96880","Company 530219","Mobile & Telecommunications","Mobile Software & Services","Health & Wellness","10001","1","4/7/2011","Kleiner Perkins Caufield & Byers"
"75384","Company 508678","Internet","eCommerce","Apparel & Accessories","10003","1.4","10/20/2010","First Round Capital"
"89498","Company 635979","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10014","1","11/16/2011","Accelerator Ventures"
"75384","Company 508675","Internet","eCommerce","Apparel & Accessories","10003","1.4","10/20/2010","Forerunner Ventures"
"89498","Company 635971","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10014","1","11/16/2011","Blumberg Capital"
"74907","Company 541185","Internet","Stealth Mode","","10010","3","4/18/2011","Bullet Time Ventures"
"75384","Company 508676","Internet","eCommerce","Apparel & Accessories","10003","1.4","10/20/2010","Harrison Metal"
"74907","Company 541185","Internet","Stealth Mode","","10010","3","4/18/2011","Contour Venture Partners"
"89498","Company 635973","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10014","1","11/16/2011","Bullpen Capital"
"77071","Company 496487","Internet","Internet Software & Services","Video","10002","0.4","10/21/2010","New York Angels"
"92556","Company 746364","Internet","Internet Software & Services","Email","10003","0.96","11/21/2011","SV Angel"
"89498","Company 635976","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10014","1","11/16/2011","Metamorphic Ventures"
"115841","Company 515363","Internet","Internet Software & Services","Social","10001","0.75","10/23/2010","Lerer Ventures"
"92556","Company 746368","Internet","Internet Software & Services","Email","10003","0.96","11/21/2011","Thrive Capital"
"89498","Company 635973","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","10014","1","11/16/2011","T5 Equity Partners"
"96342","Company 764707","Mobile & Telecommunications","Mobile Software & Services","Application & Data Integration","Undisclosed","Undisclosed","4/11/2012","Founders Co-op"
"92556","Company 746362","Internet","Internet Software & Services","Email","10003","0.96","11/21/2011","Zelkova Ventures"
"92268","Company 745246","","","","Undisclosed","0.05","11/18/2011","New York Angels"
"96946","Company 767326","Internet","Stealth Mode","","10010","1.2","4/19/2012","Collaborative Fund"
"94865","Company 757194","Internet","Internet Software & Services","Collaboration & Project Management","10022","1.5","11/21/2011","First Round Capital"
"108793","Company 768156","Internet","Internet Software & Services","Video","10018","1.74","11/18/2011","Tribeca Venture Partners"
"96946","Company 767324","Internet","Stealth Mode","","10010","1.2","4/19/2012","Google Ventures"
"94865","Company 757196","Internet","Internet Software & Services","Collaboration & Project Management","10022","1.5","11/21/2011","High Peaks Venture Partners"
"118839","Company 516982","Internet","Internet Software & Services","Business Intelligence, Analytics & Performance Mgmt","10018","Undisclosed","11/18/2011","ff Venture Capital"
"96946","Company 767327","Internet","Stealth Mode","","10010","1.2","4/19/2012","NextView Ventures"
"94865","Company 757196","Internet","Internet Software & Services","Collaboration & Project Management","10022","1.5","11/21/2011","Lerer Ventures"
"92556","Company 746361","Internet","Internet Software & Services","Email","10003","0.96","11/21/2011","Lerer Ventures"
"96946","Company 767326","Internet","Stealth Mode","","10010","1.2","4/19/2012","Red Swan Ventures"
"93012","Company 612609","Internet","Internet Software & Services","Green/Environmental","10018","Undisclosed","12/5/2011","Robin Hood Ventures"
"96946","Company 767320","Internet","Stealth Mode","","10010","1.2","4/19/2012","SoftTech VC"
"104775","Company 73593","Internet","Internet Software & Services","Video","10012","3","7/30/2012","Bain Capital Ventures"
"88316","Company 610468","Mobile & Telecommunications","Mobile Software & Services","Customer Relationship Management","11201","1.58","12/7/2011","BH Ventures"
"104775","Company 73598","Internet","Internet Software & Services","Video","10012","3","7/30/2012","Canaan Partners"
"104809","Company 800356","Mobile & Telecommunications","Mobile Software & Services","Gaming","10012","Undisclosed","7/30/2012","Avalon Ventures"
"88316","Company 610468","Mobile & Telecommunications","Mobile Software & Services","Customer Relationship Management","11201","1.58","12/7/2011","Cloud Capital Partners"
"103216","Company 529920","Mobile & Telecommunications","Mobile Commerce","Digital Goods","10016","1.28","4/20/2012","Fremont Group"
"105165","Company 538258","Internet","eCommerce","Discount","10016","0.4","8/2/2012","Actinic Ventures"
"137555","Company 681818","Internet","Internet Software & Services","Data Storage","10007","0.28","12/8/2011","High Line Venture Partners"
"96971","Company 562548","Internet","Internet Software & Services","Health & Wellness","10003","Undisclosed","4/22/2012","Prolog Ventures"
"105165","Company 538251","Internet","eCommerce","Discount","10016","0.4","8/2/2012","Payment Ventures"
"97037","Company 767775","Internet","Internet Software & Services","Video","Undisclosed","0.07","4/22/2012","EastOne Group"
"101160","Company 635535","Mobile & Telecommunications","Mobile Software & Services","Photo","Undisclosed","1","12/13/2011","Atventure.us"
"105166","Company 561454","Mobile & Telecommunications","Mobile Software & Services","Gaming","10013","0.6","8/2/2012","Box Group"
"101168","Company 761168","Internet","eCommerce","Travel (internet)","10018","2.1","4/23/2012","Lerer Ventures"
"101160","Company 635539","Mobile & Telecommunications","Mobile Software & Services","Photo","Undisclosed","1","12/13/2011","BH Ventures"
"101168","Company 761169","Internet","eCommerce","Travel (internet)","10018","2.1","4/23/2012","PROfounders Capital"
"105166","Company 561456","Mobile & Telecommunications","Mobile Software & Services","Gaming","10013","0.6","8/2/2012","Lerer Ventures"
"101160","Company 635535","Mobile & Telecommunications","Mobile Software & Services","Photo","Undisclosed","1","12/13/2011","ENIAC Ventures"
"101168","Company 761165","Internet","eCommerce","Travel (internet)","10018","2.1","4/23/2012","Thrive Capital"
"105166","Company 561452","Mobile & Telecommunications","Mobile Software & Services","Gaming","10013","0.6","8/2/2012","RRE Ventures"
"101160","Company 635539","Mobile & Telecommunications","Mobile Software & Services","Photo","Undisclosed","1","12/13/2011","General Catalyst Partners"
"104414","Company 538251","Internet","eCommerce","Discount","10016","0.5","4/24/2012","Actinic Ventures"
"105166","Company 561454","Mobile & Telecommunications","Mobile Software & Services","Gaming","10013","0.6","8/2/2012","Vaizra Investments"
"101160","Company 635530","Mobile & Telecommunications","Mobile Software & Services","Photo","Undisclosed","1","12/13/2011","Harbor Road Ventures"
"104414","Company 538256","Internet","eCommerce","Discount","10016","0.5","4/24/2012","Payment Ventures"
"101160","Company 635535","Mobile & Telecommunications","Mobile Software & Services","Photo","Undisclosed","1","12/13/2011","TMT Investments"
"105199","Company 802142","Internet","Internet Software & Services","Collaboration & Project Management","10003","2.5","8/2/2012","IA Ventures"
"97701","Company 513964","Mobile & Telecommunications","Mobile Software & Services","Customer Relationship Management","10001","5","5/1/2012","FireStarter Fund"
"77672","Company 555697","Internet","Internet Software & Services","Education & Training","10013","1","12/20/2011","Founder Collective"
"139259","Company 973831","Internet","Internet Software & Services","News & Discussion","10012","Undisclosed","8/6/2012","Lerer Ventures"
"98197","Company 514221","Internet","Internet Software & Services","Customer Relationship Management","10013","0.07","5/8/2012","Launchpad Venture Group"
"77672","Company 555692","Internet","Internet Software & Services","Education & Training","10013","1","12/20/2011","Lerer Ventures"
"105791","Company 637246","Internet","Internet Software & Services","Data & Document Management","10038","1","8/9/2012","Google Ventures"
"77672","Company 555698","Internet","Internet Software & Services","Education & Training","10013","1","12/20/2011","Reinmkr Capital"
"109348","Company 819002","Internet","Internet Software & Services","Social","Undisclosed","1.5","5/8/2012","Blumberg Capital"
"105791","Company 637244","Internet","Internet Software & Services","Data & Document Management","10038","1","8/9/2012","Quotidian Ventures"
"77672","Company 555691","Internet","Internet Software & Services","Education & Training","10013","1","12/20/2011","Sequoia Capital"
